[2024-03-12 18:45:32,214] INFO [zk-broker-0-to-controller-alter-partition-channel-manager]: Shutdown completed (kafka.server.BrokerToControllerRequestThread)
[2024-03-12 18:45:32,215] INFO Broker to controller channel manager for alter-partition shutdown (kafka.server.BrokerToControllerChannelManagerImpl)
[2024-03-12 18:45:32,215] INFO [zk-broker-0-to-controller-forwarding-channel-manager]: Shutting down (kafka.server.BrokerToControllerRequestThread)
[2024-03-12 18:45:32,215] INFO [zk-broker-0-to-controller-forwarding-channel-manager]: Stopped (kafka.server.BrokerToControllerRequestThread)
[2024-03-12 18:45:32,215] INFO [zk-broker-0-to-controller-forwarding-channel-manager]: Shutdown completed (kafka.server.BrokerToControllerRequestThread)
[2024-03-12 18:45:32,215] INFO Broker to controller channel manager for forwarding shutdown (kafka.server.BrokerToControllerChannelManagerImpl)
[2024-03-12 18:45:32,216] INFO Shutting down. (kafka.log.LogManager)
[2024-03-12 18:45:32,216] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner$CleanerThread)
[2024-03-12 18:45:32,216] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner$CleanerThread)
[2024-03-12 18:45:32,216] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner$CleanerThread)
[2024-03-12 18:45:32,224] INFO [ProducerStateManager partition=demo_java-1]Wrote producer snapshot at offset 23 with 0 producer ids in 2 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-03-12 18:45:32,241] INFO [ProducerStateManager partition=__consumer_offsets-41]Wrote producer snapshot at offset 3 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-03-12 18:45:32,243] INFO [ProducerStateManager partition=demo_java-2]Wrote producer snapshot at offset 35 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-03-12 18:45:32,249] INFO [ProducerStateManager partition=demo_java-0]Wrote producer snapshot at offset 30 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-03-12 18:45:32,251] INFO [ProducerStateManager partition=__consumer_offsets-49]Wrote producer snapshot at offset 3 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-03-12 18:45:32,265] INFO [ProducerStateManager partition=__consumer_offsets-16]Wrote producer snapshot at offset 3 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
